bugId,effectiveness,keywords,tokens
34858,2901,weaver crash,weaver crash
34925,243,compil yesterdai,compil crash yesterdai rc build
33474,65,sourc locat,bad sourc locat declar error warn
36046,1,type bug class inter type interfac declar make implement method make class doesn fail demonstr java java lang method deriv main driver java public gener println gener base implement monitor public null abstract public string marker interfac interfac monitor int string method map mutabl monitor string method,inter type declar bug abstract class error occur inter type declar interfac declar parent make abstract base class implement declar method fail make base class concret doesn fail code demonstr error run java driver java lang abstract method error deriv execut ljava lang string driver main driver java thread main public class driver public static void main string arg deriv gener deriv system println gener execut process event static aspect monitor base declar parent base implement execut monitor monitor item class deriv extend base public string return null abstract class base abstract public string aspect execut monitor marker interfac execut monitor track call execut class public interfac monitor item int execut string method map event mutabl integ public int monitor item execut string method return
36564,2,error aspect intern join point static part advic call joinpoit sourc join point null org send messag send org jdt send messag send org jdt declar analys method declar org type unit unit declar org process java org jdt compil intern imag org builder abstract imag builder ajdt batch builder run aspectj intern manag adapt adapt org manag aspect bug author websterm comment prefer public class static void main arg throw file input creat apr comment window prefer gener import org aspectj author websterm window public aspect method call io io method obj proce system join point static part return obj,intern compil error eclips aspect intern error join point static part advic call joinpoit sourc join point fine java lang null pointer org eclips jdt intern compil ast messag send analys code messag send java org eclips jdt intern compil ast messag send analys code messag send java org eclips jdt intern compil ast abstract method declar analys code abstract method declar java org eclips jdt intern compil ast type declar analys code type declar java org eclips jdt intern compil ast compil unit declar analys code compil unit declar java org eclips jdt intern compil compil process compil java org aspectj ajdt intern compil aj compil process aj compil java org eclips jdt intern compil compil compil compil java org eclips jdt intern core builder abstract imag builder compil abstract imag builder java org eclips jdt intern core builder abstract imag builder compil abstract imag builder java org aspectj ajdt intern core builder aj build manag batch builder run aj build manag java org aspectj ajdt intern core builder aj build manag batch build aj build manag java org aspectj ajd intern compil adapt compil compil adapt java org aspectj ajd intern aspect build manag compil thread run aspect build manag java java aspect bug src compil sourc packag compil import java io author websterm gener comment window prefer java code gener code comment public class test public static void main string arg throw file input stream file input stream test creat apr gener comment window prefer java code gener code comment packag compil import java io import org aspectj lang author websterm gener comment window prefer java code gener code comment public aspect pointcut method call java io throw io object throw io method object obj proce system println join point static part return obj
29665,1,inconsist height aspect program crash stack height reduc stack height guess reflect method static main void string boolean public void test null stack public call target target call public boolean object contract boolean object object equal call boolean proce string cl method declar method code code catch method program crash,inconsist stack height aspect run program crash messag inconsist stack height reduc origin program minimum stack height guess relat didn reproduc mail mport java lang reflect method public class stack error public static void main string arg void assert true string msg boolean public void test equal null stack error stack error stack error stack error assert true equal equal work boolean equal work public boolean equal object return true aspect equal contract pointcut equal call object object target object target call public boolean equal object arg equal contract boolean object object equal call boolean result proce class cl class string cl boolean hash code fals method cl declar method hash code null string public int hash code hash code equal string catch method nsme return result program crash comment line work comment note line comment work work
36803,1,aspect rc iajc expect state resolv iajc state concret org aspectj expect concret iajc org aspectj pattern pointcut state pointcut iajc weaver pointcut concret pointcut iajc org aspectj pattern cflow pointcut concret cflow org aspectj weaver pattern pointcut concret pointcut iajc pattern concret pointcut org aspectj pattern refer pointcut concret refer iajc weaver org aspectj org type member member set member set iajc intern java aj ajc aspectj tool run iajc main run task iajc ant task ant target iajc org project iajc build,bc thrown aspect rc iajc expect state resolv concret iajc expect state resolv concret iajc org aspectj weaver bc expect state resolv concret iajc org aspectj weaver pattern pointcut assert state pointcut java iajc org aspectj weaver pattern pointcut concret pointcut java iajc org aspectj weaver pattern cflow pointcut concret cflow pointcut java iajc org aspectj weaver pattern pointcut concret pointcut java iajc org aspectj weaver pattern pointcut concret pointcut java iajc org aspectj weaver pattern refer pointcut concret refer pointcut java iajc org aspectj weaver pattern pointcut concret pointcut java iajc org aspectj weaver pattern refer pointcut concret refer pointcut java iajc org aspectj weaver pattern pointcut concret pointcut java iajc org aspectj weaver pattern pointcut concret pointcut java iajc org aspectj weaver advic concret advic java iajc org aspectj weaver crosscut member add shadow munger crosscut member java iajc org aspectj weaver crosscut member add shadow munger crosscut member java iajc org aspectj weaver resolv type collect crosscut member resolv type java iajc org aspectj weaver crosscut member set add replac aspect crosscut member set java iajc org aspectj weaver bcel bcel weaver prepar weav bcel weaver java iajc org aspectj weaver bcel bcel weaver weav bcel weaver java iajc org aspectj ajdt intern core builder aj build manag weav gener class file aj build manag java iajc org aspectj ajdt intern core builder aj build manag batch build aj build manag java iajc org aspectj ajdt ajc ajdt command run command ajdt command java iajc org aspectj tool ajc main run main java iajc org aspectj tool ajc main run main main java iajc org aspectj tool ant taskdef ajc task execut ajc task java iajc org apach tool ant unknown element execut unknown element java iajc org apach tool ant task perform task java iajc org apach tool ant target execut target java iajc org apach tool ant target perform task target java iajc org apach tool ant project execut target project java iajc org apach tool ant project execut target project java iajc org apach tool ant main run build main java iajc org apach tool ant main start main java iajc org apach tool ant main main main java
37739,1,unexpect code member type test test call void test void proce resolv void member line comment default constructor reproduc,unexpect xlint unresolv member warn withincod code produc xlint unresolv member warn class class type string class class public void test public void test test aspect void call void test withincod void test proce warn text warn java resolv member void catch java lang class found xlint unresolv member line line aspect withincod comment aspect warn comment default constructor string class warn reproduc rc rc
38131,4,option compil class,ajc option correctli compil class subpackag
39458,72,compil ajc,compil crash ajc
39993,1,trace declar hashcod method aspect list declar void set aspect null void set int null super workaround caller compil declar call proce,ajc stack trace declar hashcod method aspect email user list ajc npe aspect declar hashcod interfac identifi void set id id id id id aspect identifi aspect privat id identifi id null public id identifi id return id public void identifi set id id id id id public int identifi hash code return id null super hash code id hash code workaround caller compil control replac declar advic int identifi target call public int hash code return id null proce id hash code
40380,1,aspect properti ajdt build build project properti java build aspect continu eclips error occur compil jdk java jdk write java ap string string convert project,aspect honour librari defin project properti ajdt eclips build jdk program eclips jdk build librari select project properti java build path aspect continu jdk eclips error result ap occur run eclips compil program testcas run eclips jdk creat java project jdk write java class ap public class test string buffer public static void main string arg string buffer test index convert aspect project
38717,1,file pars error add compil error messag specif file error origin messag,lst file pars error includ sourcelin inform check bug add erron line lst file compil ajd error messag return project specif specif lst file error origin messag sourc locat
40534,1,warn error requir present warn declar error inform user led case public static void class public warn don great messag void larg architectur coupl warn error info,declar warn error output detail requir present declar warn declar error function compil detail inform user code led gener compil time warn error test case public class public static void main string arg system println void system println end class public aspect aspect pointcut call declar warn don compil file warn src java don great offend code line contraven polici polici aspect warn messag src java don call method void larg project architectur imper reduc complet remov coupl compon declar warn error greater return detail info desir enforc rule broken
41123,1,failur run devel librari weav devel weav aje aje test class devel weav aje model test weav bu implement abstract inter dispatch aje record string string bu error work devel test librari weav ajc aje aj bu bu obj java test weav sampl sourc code packag execut interfac monitor item type event packag model public class obj packag import aje test public declar obj implement monitor item,weav failur injar sampl run fail injar devel test librari weav ajc aje test execut monitor aj devel test librari weav jar cf aje jar aje test class devel test librari weav ajc injar aje jar model bu obj java model monitor obj java devel test librari weav model bu obj java class implement inherit abstract method execut monitor monitor item ajc inter method dispatch aje est execut monitor record string string public class bu obj error work singl pass compil devel test librari weav ajc aje test execut monitor aj model bu obj jav model monitor bu obj java devel test librari weav sampl sourc code packag aje test public aspect execut monitor public interfac monitor item privat void monitor item record string event type string event packag model public class bu obj packag model import aje test execut monitor public aspect monitor bu obj declar parent bu obj implement execut monitor monitor item
39436,5,line summari number view,task summari shown statu line build task view show summari number task error warn info statu line miss rework view
41359,1,instanc point percflow aspect code jar aspect aspect sourc code,percflow aspect compil jar share instanc entri point percflow aspect woven sourc code jar aspect path compil option produc instanc aspect entrypoint defin sourc code
42539,1,throw advis cut aspect public test throw warn thrower throw code class public throw throw list bug bug temp default classpath home jar mail list contribut lt caus code throw pattern mistakenli type pattern match public type pattern match packag access nice specifii subtyp lt,throw deriv pointcut advis point cut advic public aspect aspect pointcut thrower execut public bug test throw declar warn thrower throw aspect code public class bug test class extend public void method throw public void method throw list file default lst temp ajc bug aspect aj temp ajc bug bug test java ajc advis bug test method output compil temp ajc bug ajc argfil default lst classpath aspectj home lib aspectjrt jar eclips workspac ajc bug bug test java throw aspect mail list contribut jim hugunin lt detail gt bug caus becaus code throw pattern mistakenli intern protect method type pattern match extern public method type pattern match static becaus class packag java access rule nice easi specifii method access subtyp lt detail gt
42993,1,regress languag aspect aspect aspect cach perthi declar parent descriptor implement abstract cach pointcut execut kei kei kei abstract aspect cach kei kei kei descriptor activ public activ return null public load desc loader activ descriptor aspect shell window xp cygdriv aspectj pst cygdriv ajc aspect classpath aspectj cygdriv rc aspect rc jar aspectj bin aspect compil aspect bug java attach cygdriv aspect classpath aspectj cygdriv bin aspect bug cygdriv aspectjrt bug document aspect type type abstract cach kei error final sept build incompat type regress desir port,languag regress languag improv file aspect bug java public aspect aspect bug extend abstract cach perthi execut loader declar parent descriptor implement abstract cach kei protect pointcut load execut kei kei loader load kei abstract aspect abstract cach interfac kei protect abstract pointcut load execut kei kei class kei class descriptor class activ class loader public activ creat descriptor return null public pointcut load loader loader descriptor desc loader arg desc execut activ loader creat descriptor version aspect bash shell cygwin window xp classpath aspectj lib aspectjrt jar cygdriv aspectj bin ajc version ajc version built jul pm pst run java classpath aspectj lib aspectjrt jar cygdriv aspectj bin ajc version aspect compil classpath aspectj rc lib aspectjrt jar cygdriv aspectj rc bin ajc version aspect compil rc classpath aspectj lib aspectjrt jar cygdriv aspectj bin ajc version aspect compil compil aspect bug java file attach classpath aspectj lib aspectjrt jar cygdriv aspectj bin ajc aspect bug java classpath aspectj lib aspectjrt jar cygdriv aspectj bin ajc aspect bug java classpath aspectj rc lib aspectjrt jar cygdriv aspectj rc bin ajc aspect bug java classpath aspectj lib aspectjrt jar cygdriv aspectj bin ajc aspect bug java document set macneil shonl aspect bug java incompat type expect descriptor found bind type pattern abstract cach kei error final run sept build ajc incompat type error regress desir result code port
43194,1,error code attach sourc won els reproduc abstract fold workspac lib error pop main make error,java lang verifi error gener code attach file verifi bug jar sourc file won els compil reproduc bug bug ls abstract cach java tree node java verifi bug jar cach java tree node fold java workspac group java loader java tree panel java workspac node java makefil tree workspac java bug gmake cygdriv aspectj bin ajc classpath aspectj lib aspectjrt jar version aspect compil cygdriv aspectj bin ajc classpath aspectj lib aspectjrt jar java java classpath aspectj lib aspectjrt jar tree node java lang verifi error class tree node method show action signatur unabl pop operand empti stack thread main make error
43033,24,post erron,compil crash ajc head post rc erron program
43709,1,crash librari librari aspect outjar extend make aspect system bug navig npe trace ajdt pointer aspectj asm program element link label program element org ajdt node label node eclips ajdt structur node label node adapt org workbench label workbench label jface tree viewer updat org viewer updat runnabl abstract viewer org intern runtim platform platform org core runtim run platform jface viewer abstract viewer java viewer updat item safe runnabl viewer org intern runtim eclips runtim run platform eclips jface updat item java org jface viewer creat abstract abstract abstract viewer eclips custom busi jface abstract viewer creat children tree viewer org jface viewer abstract handl abstract viewer eclips viewer type handl event type org widget tabl org org event org wm child org swt widget org swt widget swt window proc control java swt displai org swt win os call window proc nativ org eclips swt proc os org widget call proc wm lbuttondown org swt window displai proc java org messag nativ swt intern win dispatch messag widget dispatch displai org run event intern run org intern loader run eclips core run boot sun nativ method impl nativ reflect nativ impl invok unknown method invok unknown sourc reflect method invok unknown sourc basic java org core main main core main enhanc request advic show cours concret librari aspect aspect affect,structur view crash extend librari aspect librari aspect includ advic compil outjar client project extend make concret pointcut result librari aspect affect part system bug enhanc request bug structur view affect class problem navig call advic ajdt result npe stack trace ajdt java lang null pointer org aspectj asm intern program element link label string program element java org eclips ajdt intern core ajdt structur view node label ajdt structur view node java org eclips ajdt intern core ajdt structur view node adapt label ajdt structur view node adapt java org eclips ui model workbench label text workbench label java org eclips jface viewer tree viewer updat item tree viewer java org eclips jface viewer abstract tree viewer updat item safe runnabl run abstract tree viewer java org eclips core intern runtim intern platform run intern platform java org eclips core runtim platform run platform java org eclips jface viewer abstract tree viewer updat item abstract tree viewer java org eclips jface viewer structur viewer updat item safe runnabl run structur viewer java org eclips core intern runtim intern platform run intern platform java org eclips core runtim platform run platform java org eclips jface viewer structur viewer updat item structur viewer java org eclips jface viewer abstract tree viewer creat tree item abstract tree viewer java org eclips jface viewer abstract tree viewer run abstract tree viewer java org eclips swt custom busi show busi java org eclips jface viewer abstract tree viewer creat children abstract tree viewer java org eclips jface viewer abstract tree viewer handl tree expand abstract tree viewer java org eclips jface viewer abstract tree viewer tree expand abstract tree viewer java org eclips swt widget type listen handl event type listen java org eclips swt widget event tabl send event event tabl java org eclips swt widget widget send event widget java org eclips swt widget widget send event widget java org eclips swt widget widget send event widget java org eclips swt widget tree wm notifi child tree java org eclips swt widget control wm notifi control java org eclips swt widget composit wm notifi composit java org eclips swt widget control window proc control java org eclips swt widget displai window proc displai java org eclips swt intern win os call window proc nativ method org eclips swt intern win os call window proc os java org eclips swt widget tree call window proc tree java org eclips swt widget tree wm lbuttondown tree java org eclips swt widget control window proc control java org eclips swt widget displai window proc displai java org eclips swt intern win os dispatch messag nativ method org eclips swt intern win os dispatch messag os java org eclips swt widget displai read dispatch displai java org eclips ui intern workbench run event loop workbench java org eclips ui intern workbench run workbench java org eclips core intern boot intern boot loader run intern boot loader java org eclips core boot boot loader run boot loader java sun reflect nativ method accessor impl invok nativ method sun reflect nativ method accessor impl invok unknown sourc sun reflect deleg method accessor impl invok unknown sourc java lang reflect method invok unknown sourc org eclips core launcher main basic run main java org eclips core launcher main run main java org eclips core launcher main main main java enhanc request concret aspect appli advic show affect project cours nice concret librari aspect aspect path affect project
44117,1,npe null asm relationship checker munger asm relationship checker match checker match java org aspectj match org aspectj org class org org org org ajdt manag gener file manag ajdt core manag org aspectj build manag manag intern adapt adapt org manag run manag,npe compil java lang null pointer org aspectj weaver asm relationship checker munger asm relationship java org aspectj weaver checker match checker java org aspectj weaver bcel bcel class weaver match bcel class weaver java org aspectj weaver bcel bcel class weaver match bcel class weaver java org aspectj weaver bcel bcel class weaver weav bcel class weaver java org aspectj weaver bcel bcel class weaver weav bcel class weaver java org aspectj weaver bcel bcel weaver weav bcel weaver java org aspectj weaver bcel bcel weaver weav bcel weaver java org aspectj weaver bcel bcel weaver weav bcel weaver java org aspectj ajdt intern core builder aj build manag weav gener class file aj build manag java org aspectj ajdt intern core builder aj build manag build aj build manag java org aspectj ajdt intern core builder aj build manag batch build aj build manag java org aspectj ajd intern compil adapt compil compil adapt java org aspectj ajd intern aspect build manag compil thread run aspect build manag java
49457,1,overload bind compil overload pointcut context repli dev submit case code ron context email pointcut aspect declar pointcut pc run runnabl target call void classpath overload duplic pointcut overload duplic pointcut error log public void aspect declar parent implement declar parent pointcut pointcut void pc ron warn simpl odd packag public packag import public aspect make runnabl public,error overload pointcut bind variabl compil detect overload pointcut paramet bound implement pointcut correctli context repli ron bodkin aspectj dev proper behavior overload pointcut check code recent submit test case evalu code replic ron bug context email program guid error pointcut class aspect declar compil overload pointcut error pointcut pc runnabl target call void run pointcut pc runnabl target call void run aspectj classpath ajrt overload pointcut java overload pointcut java duplic pointcut pc overload pointcut java duplic pointcut pc pointcut bound paramet error runnabl pc log pc runnabl runnabl pc log pc runnabl pointcut type paramet error pc runnabl log pc runnabl pc runnabl log pc runnabl pc log pc code public class overload pointcut public static void main string arg run class public void run aspect declar parent implement runnabl declar parent implement runnabl interfac runnabl extend runnabl pointcut pc runnabl target call void run pointcut pc runnabl target call void run runnabl pc log pc runnabl runnabl pc log pc runnabl pc runnabl log pc runnabl pc runnabl log pc runnabl pc log pc void log string system println ron code program compil warn produc output run aspect behav specif pointcut simpl program illustr question odd behavior packag lib public class runnabl pointcut public pointcut runnabl call runnabl runnabl object caller call run target runnabl caller public pointcut special runnabl call special runnabl runnabl object caller public pointcut runnabl call special runnabl runnabl object caller call run target runnabl caller packag lib public interfac special runnabl extend runnabl packag client import lib runnabl pointcut import lib special runnabl public aspect object caller runnabl pointcut runnabl call caller target runnabl system println runnabl call caller public static void main string arg aspect public void runnabl run advic run make implement special runnabl class runnabl implement special runnabl class runnabl implement runnabl public void run
47754,1,method modifi attach throw pleas bug result boss cryptic gener main netvisor nvsr client byte code test method modifi nativ method loader secur class net nativ method net load method secur net net method netvisor client code code bug nvsr byte code main invalid code bug,illeg method modifi attach throw class load time pleas note bug result setup class load boss cryptic talk gener class format error thread main java lang class format error netvisor nvsr client invalid byte code bug test test illeg method modifi java lang class loader defin class nativ method java lang class loader defin class class loader java java secur secur class loader defin class secur class loader java java net url class loader defin class url class loader java java net url class loader access url class loader java java net url class loader run url class loader java java secur access control privileg nativ method java net url class loader find class url class loader java java lang class loader load class class loader java sun misc launcher app class loader load class launcher java java lang class loader load class class loader java java lang class loader load class intern class loader java java lang class loader defin class nativ method java lang class loader defin class class loader java java secur secur class loader defin class secur class loader java java net url class loader defin class url class loader java java net url class loader access url class loader java java net url class loader run url class loader java java secur access control privileg nativ method java net url class loader find class url class loader java java lang class loader load class class loader java sun misc launcher app class loader load class launcher java java lang class loader load class class loader java java lang class loader load class intern class loader java netvisor nvsr client invalid byte code bug run invalid byte code bug java netvisor nvsr client invalid byte code bug main invalid byte code bug java
49638,48,throw advic,log throw advic convert throwabl obj string ajc abort
46280,1,compil issu privilieg compil aspect qualifi static privileg matter type case base privat int hidden public int hidden void system println arg aspect uncom aspect pointcut void capsul capsul capsul capsul capsul capsul hidden interfac static pointcut capsul call void capsul capsul call capsul visibl,compil issu error aspect privilieg compil complain aspect static qualifi static aspect privileg matter enclos type aspect interfac class sdk aspect eclips ajdt test case base class public class capsul privat int hidden public int visibl public capsul int priv int pub hidden priv visibl pub public void system println hidden visibl public static void main string arg capsul capsul capsul capsul aspect public aspect outer static privileg uncom aspect pointcut call capsul capsul call void capsul target capsul capsul capsul call capsul capsul visibl capsul hidden interfac public interfac marker static privileg uncom aspect pointcut call capsul capsul call void capsul target capsul capsul capsul call capsul capsul visibl capsul hidden
44587,12,convers,erron convers
36234,1,error compil rc direct inform medium aspect receiv run command line,memori error compil memori error compil ajc rc descript point direct output addit inform code base medium size classfil remov aspect receiv error run command line ajc classpath sourceroot
48072,1,model complet declar document list thing,complet relationship inform structur model complet set relationship surfac structur model includ support declar parent mik document list thing
45489,1,wrong element kind save close shown interfac code wrong interfac aspect declar list list packag list element file packag file file kind string file ad list file children file class aspect thing file child kind child string file,structur model wrong open element wrong kind save structur model load close open eclips workbench class shown interfac outlin view travers tree code wrong kind assign class interfac aspect import declar list list structur model util packag model iter list iter object object program element node program element list file structur model util file packag node iter file iter program element file program element system println file file kind string file boolean ad fals list file children file children file children class aspect thing iter file children iter program element file child program element system println kind file child kind string file child
51929,1,advic super method access java verifi thrown access advic aspect method method class due advic work woven javac sun blackdown ms workaround make method test cv protectedvf ajc,advic call protect super method caus java lang verifi error bad access protect data java lang verifi error thrown runtim complain bad access protect data advic aspect call protect method super aspect woven class call method woven class due advic declar super aspect work fine aspect woven precompil sun javac class verifi error occur sun blackdown ms ms workaround make protect method public fix verifi error test case cv test bug protectedvf test ajc test fail xml
51320,1,concret fals dev class pointcut concret pointcut pointcut concret pointcut org pointcut concret crosscut member shadow munger crosscut member org weaver crosscut member org crosscut member org crosscut member crosscut member aspectj advic environ bind org jdt intern compil compil org eclips jdt intern java org aspectj build manag manag org builder org aspectj intern builder batch manag ajdt ajdt command command ajdt command org command run ajdt command org main run main org tool main main,classcast concret fals weav attach aspect dev build java lang class cast org aspectj weaver pattern pointcut concret pointcut java org aspectj weaver pattern pointcut concret pointcut java org aspectj weaver pattern pointcut concret pointcut java org aspectj weaver checker concret checker java org aspectj weaver crosscut member add shadow munger crosscut member java org aspectj weaver crosscut member add declar crosscut member java org aspectj weaver crosscut member add declar crosscut member java org aspectj weaver crosscut member set add advic declar crosscut member set java org aspectj ajdt intern compil lookup aj lookup environ add advic declar aj lookup environ java org aspectj ajdt intern compil lookup aj lookup environ complet type bind aj lookup environ java org eclips jdt intern compil compil begin compil compil java org eclips jdt intern compil compil compil compil java org aspectj ajdt intern core builder aj build manag perform compil aj build manag java org aspectj ajdt intern core builder aj build manag build aj build manag java org aspectj ajdt intern core builder aj build manag batch build aj build manag java org aspectj ajdt ajc ajdt command command ajdt command java org aspectj ajdt ajc ajdt command run command ajdt command java org aspectj tool ajc main run main java org aspectj tool ajc main run main main java org aspectj tool ajc main main main java
52394,59,inter,inter type declar caus rockit crash
50776,4,method method redefinig method declar method introduct type invoc method refer hown built jul pm public public,fail compil aspect overrid method introduct throw claus class class declar method throw claus void throw class class extend redefinig method aspect declar method introduct class signatur return type class throw claus legal overrid class class invoc overriden method doesn catch block becaus refer hown method rais code compil ajc version built jul pm pst run java aspect compil aspect compil class public public void throw class extend public public void code aspect public void
51322,33,introduc type,introduc unknown type class caus null pointer
54625,1,class file delet work batch build,increment support work outjar fix class file delet work jar batch build work outjar
55134,1,weaver class increment record initi weaver subsequ class class closur written output orgin delet addit gener delet output,increment compil delet weaver gener class file increment compil aj state record class gener sourc file initi compil phase weav pass weaver subsequ iter reweav world weav class file weaver gener addit class file closur written output orgin sourc file delet addit weaver gener class delet output aj state
31460,1,discuss list dai base base url addit contribut,weav class loader discuss mail list dai ago implement weav class loader enabl bytecod base weav class load time class loader base url class loader url class loader addit add aspect weav loader aspect woven class load test case class loader aren implement implement contribut martin
57430,1,compil,print thrown compil print submit bug header print header true cv version
57436,4,ajc report ajc latest head beta binari file submit don peopl,java fail run class produc ajc java beta report class format error run program spacewar compil ajc latest cv head sun java beta binari compat doc obfusc violat class format specif class file fail run doc incomplet beta submit bug sun implement techniqu valid don techniqu document don fix peopl
